2016-06-24 16:30:14,115 [Dummy-1:19788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-24 16:30:14,648 [Dummy-1:19788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-24 16:30:14,964 [Dummy-1:19788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.315) SHOW FULL TABLES; args=None
2016-06-24 16:30:15,144 [Dummy-1:19788] [django.db.backends:89] [utils:execute] [DEBUG]- (0.143) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-06-24 16:30:56,459 [Thread-2:20660] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-24 16:30:56,470 [Thread-2:20660] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2016-06-24 16:30:57,661 [Thread-2:20660] [django.db.backends:89] [utils:execute] [DEBUG]- (1.191) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'jztiaod65d4j3vzwbt0mkbuwk3jk04w2' AND `django_session`.`expire_date` > '2016-06-24 08:30:56.453000'); args=('jztiaod65d4j3vzwbt0mkbuwk3jk04w2', u'2016-06-24 08:30:56.453000')
2016-06-24 16:31:05,233 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=()
2016-06-24 16:31:05,920 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.513) SELECT COUNT('*') AS `__count` FROM `blog_article`; args=('*',)
2016-06-24 16:31:06,115 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.189) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-24 16:31:06,654 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_article`.`date_publish` FROM `blog_article` ORDER BY `blog_article`.`date_publish` DESC; args=()
2016-06-24 16:31:07,476 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.505) SELECT `blog_comment`.`article_id`, COUNT(`blog_comment`.`article_id`) AS `comment_count` FROM `blog_comment` GROUP BY `blog_comment`.`article_id` ORDER BY `comment_count` DESC; args=()
2016-06-24 16:31:07,533 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.048) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 3; args=(3,)
2016-06-24 16:31:07,644 [Thread-9:20676] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `blog_article`.`id`, `blog_article`.`title`, `blog_article`.`desc`, `blog_article`.`content`, `blog_article`.`click_count`, `blog_article`.`is_recommend`, `blog_article`.`date_publish`, `blog_article`.`user_id`, `blog_article`.`category_id`, `blog_article`.`score` FROM `blog_article` WHERE `blog_article`.`id` = 2; args=(2,)
